airline_sentiment,clean_tweet
negative,aware airbus fleet sucks rather fly c full rubber dog shit
neutral,issuing exception policy denver weekend
neutral,need breakdown international surcharge flights cover please help
negative,fyi staff telling customers try carriers
negative,possibly messed trip anymore thanks terrible airline disappointed
negative,wifi ua sf chicago ps tech intro video joke epicfail
neutral,flight thx
neutral,based suggestions passengers rental car standby one way another leaving
negative,thanks reply box mine missing one added bag
negative,wifi flight ua sf ord really wow
neutral,gives belfast hug new unmissable bushug format impact busads thinkbus
negative,worst
negative,haha clean plane held overnight hangar sounds lovely also lie screensand say weather
negative,charge delay united still waiting
neutral,save checked snowboard trying check morning website wants prem gold
neutral,traveling fra thru iad mco tomorrow concerned abt iad weather change advisory issued advice
negative,made feel guilty economy plus pay extra leg room
negative,flight cancelled flightled new flight hopefully
negative,cancelled flightled newflight upset one cancelled flights could rented car would honest
positive,enjoyed heathrow lounge much almost missed flight
positive,hi flight try book new one way flight departure shows pm seems accurate
negative,stuck ord united find airplane lol upset terminal right
neutral,contact requesting charity donation thankyou
negative,wth honest customers better last change driving home plane left
negative,nd time row charged plane ticket united check cc everytime
neutral,need customer service manager contact please
negative,flight really going leave newark today tell us rent car want end stranded
negative,thanks reply saw particularly helpful hungry vegetarian flying specific flights shrug
negative,funny boarding pass said priority clearly priority airline
negative,sure offer nothing inconvenience put twice month tweets cut
negative,cancelled flight flight like
negative,screwing twice one month learned lesson
negative,point offering free checked bag lose
neutral,cheers
positive,please send link email formally compliment irene slc best customer service ever paxex
positive,thnx lo
neutral,yes houston int l bush
neutral,hi flight cun ewr shows departure pm united app confirm look correct thanks
negative,flight vegas houston cancelled flighted morning due operation mean thank god woke early today
neutral,thanks
negative,education staff needed also turned away first class cabin passengers mileage plus
